directorId,directorName
299,Jean-Paul Rappeneau
300,Izidore K. Musallam
301,Alan Rudolph
302,Brett Piper
303,Nick Park
304,Luis Buñuel
305,James Bruce
306,Tom DiCillo
307,Frank Capra
308,Mike Figgis
309,Jacques Demy
310,Dominic Sena
311,James Ivory
312,Bill Couturié
313,Chris Hunt
314,Lana Wachowski
315,Richard Benjamin
316,Brian Henson
317,Julio de Fleischner
318,Michael Mann
319,Andrew Morahan
320,James L. Brooks
321,Hervé Palud
322,Mweze Ngangura
323,Joshua Brand
324,Daniel Petrie Jr.
325,Kirk Wise
326,Michael Winterbottom
327,Jakov Sedlar
328,Ernst Lubitsch
329,Pat O'Connor
330,Steve Barron
331,John Rubino
332,Simon Wells
333,Gaston Kaboré
334,William Friedkin
335,Frieder Schlaich
336,Ron Howard
337,Tim Reid
338,Lee David Zlotoff
339,Antonia Bird
340,Fraser C. Heston
341,Jeff Pollack
342,Robert Redford
343,Greg Beeman
344,Quentin Tarantino
345,Peter Yates
346,André Téchiné
347,Phillip Noyce
348,Gilbert Adler
349,George A. Romero
350,Pixote Hunt
351,Stuart Gordon
352,Peter Segal
353,Tony Richardson
354,Victoria Foyt
355,Wolfgang Reitherman
356,Orson Welles
357,Jennifer Warren
358,John Badham
359,Michael Austin
360,Charles Shyer
361,Barry Levinson
362,Sally Potter
363,Jack O'Connell
364,Scott Kalvert
365,John Cromwell
366,Louis Malle
367,Clement Virgo
368,Manoel de Oliveira
369,Betty Thomas
370,Stephen Poliakoff
371,Kevin Hooks
372,Tim Pope
373,Maurice Pialat
374,Zalman King
375,Lucian Pintilie
376,Massimo Troisi
377,David O. Russell
378,Roger Allers
379,Arlene Sanford
380,Goran Paskaljevic
381,Pen Densham
382,Stephen Gyllenhaal
383,Noah Baumbach
384,Robert Wuhl
385,Randall Miller
386,Ed Herzog
387,George Cukor
388,Corey Yuen
389,Rob Minkoff
390,Michael Ritchie
391,Tamra Davis
392,Scott Winant
393,Victor Saville
394,Roger Michell
395,Norman Ferguson
396,Jonathan R. Betuel
397,Rusty Cundieff
398,Steven E. de Souza
399,Federico Fellini
400,Paris Barclay
401,Rachel Talalay
402,Gregory Nava
403,Garry Marshall
404,Jon Turteltaub
405,Kelly Makin
406,Philip Tan
407,Martin Lawrence
408,Patrick Read Johnson
409,Werner Herzog
410,David R. Ellis
411,Yuri Mamin
412,John O'Brien
413,Mel Gibson
414,Mel Chionglo
415,Michael Lehmann
416,Rolf Silber
417,Richard W. Munchkin
418,Djibril Diop Mambéty
419,Betty Kaplan
420,Stuart Baird
421,Holly Goldberg Sloan
422,Robert Z. Leonard
423,Sam Wood
424,Fred Schepisi
425,John Irvin
426,David Carson
427,Deran Sarafian
428,Julianna Lavin
429,Guillermo del Toro
430,Steve Oedekerk
431,Wes Craven
432,Paul Auster
433,Bill Condon
434,Carlo Rola
435,Wallace Wolodarsky
436,Tom Noonan
437,Les Mayfield
438,Gregory Hoblit
439,Wayne Wang
440,Geoffrey Wright
441,Christopher Larkin
442,Michael Corrente
443,Mike Leigh
444,Renny Harlin
445,John Fortenberry
446,Campbell Scott
447,Charles T. Kanganis
448,Peter Hewitt
449,Rafael Moleón
450,Lawrence Kasdan
451,Kenneth Branagh
452,Caroline Thompson
453,Henry Selick
454,Ebrahim Forouzesh
455,Wilfred Jackson
456,John Pasquin
457,Todd Haynes
458,John Frankenheimer
459,Joe Chappelle
460,Jack Hill
461,Lasse Hallström
462,Sam Peckinpah
463,William Keighley
464,Norman Jewison
465,Tim Burton
466,Billy Crystal
467,Eric Goldberg
468,Kevin James Dobson
469,Bo Widerberg
470,Stanley Tong
471,Kevin Dowling
472,Gianni Amelio
473,Marco Brambilla
474,Darrell Roodt
475,Steve Gomer
476,Tôru Murakawa
477,Kevin Reynolds
478,Rouben Mamoulian
479,Michael Radford
480,Martin Scorsese
481,Patrice Chéreau
482,Jean-Jacques Annaud
483,Peter MacDonald
484,Michael Tolkin
485,Ron Underwood
486,John Boorman
487,Rick Friedberg
488,Mary Harron
489,Edward Zwick
490,Phillip Borsos
491,Vadim Jean
492,Robert Leacock
493,David Hand
494,Satyajit Ray
495,Michael Bay
496,Joel Coen
497,David Koepp
498,Wes Anderson
499,Jon Amiel
500,Susanne Ofteringer
501,Douglas McGrath
502,Michael Almereyda
503,Edward Burns
504,Jason Bloom
505,Frank Borzage
506,Martin Campbell
