205:-0.9857344 0.23433115 -1.0409716 -0.48214436 -0.23082952 0.13194153 0.6054751 0.74609 -0.7332375 -0.70133865
1210:-1.0081882 -0.5678948 -0.48137766 -0.087083764 -0.67105156 0.06999173 -0.16945142 -0.2831982 -0.123961754 0.41604292
574:-1.0897399 -0.42736456 -0.5864008 0.1319552 -0.94381976 -0.4125826 0.42804733 -0.060271274 -0.31690547 0.73217374
977:-1.0350658 -1.3856018 -1.271307 -0.1373514 -0.34801418 0.36342272 0.8259468 0.3666063 -0.117052935 -0.16080303
1446:-1.1227127 -0.88574904 -1.3401797 -0.17941777 -1.3808268 0.4528106 0.05826671 0.121436775 -1.0168077 -0.10140764
858:-1.541197 -0.26846826 -0.34228244 0.6706634 -0.5675411 -0.22759123 -0.0078049563 0.062350783 0.52257013 0.24392228
1441:-1.3197614 -0.56945133 -0.48664814 -0.40596282 -0.3186934 0.38954997 0.964458 1.1995444 -0.69323725 -0.039673515
98:-1.3468324 -0.9837344 -1.3472979 -1.1033453 -1.5356482 0.65629464 1.3236401 0.6365851 -0.69147205 -0.5817906
619:-0.5205481 -1.1515926 0.066524625 0.1664763 -0.6157995 0.4506099 -0.01718436 -0.008250568 0.99045783 -0.7497758
507:-0.75426036 -0.42138836 -0.30244762 -0.09268675 -0.66737914 -0.15758644 -0.3499263 -0.32914406 -0.5343734 0.3442878
113:-0.76341146 -0.88050765 -0.4821053 0.6376272 -0.33131278 -0.24115337 -0.32840118 -0.3699563 0.55845284 0.27242035
34:-0.80034137 -0.728391 -0.4400994 0.04817864 -1.0463346 -0.038575646 0.064860694 -0.24088794 -0.1252644 0.018731406
563:-0.6835878 -0.73390734 -0.4688469 -0.22624569 -0.50895584 -0.26186916 -0.011041817 -0.18854098 0.50782067 0.10426903
381:-1.4951801 -0.6579141 -0.6390068 0.1418714 -0.5505985 -0.8590388 -0.045160983 -0.9685663 -0.18619034 0.28317425
1182:-1.3376014 -0.48846805 -0.634958 0.29184055 0.2940426 0.9854353 0.8873173 0.03413191 0.15182155 -0.94042295
874:-1.0871587 -1.4040589 -0.9375392 -0.32779902 -0.54209065 0.55808634 1.3161691 0.3969608 -0.7075273 0.33018216
455:0.2379063 0.32199696 -1.0239048 -0.44236907 -0.4986451 -0.17232077 -1.1730702 0.8333544 0.18852241 0.19390646
1383:-1.010323 -0.02489212 -0.045415908 -0.37229398 -0.61809236 -0.5283751 0.87885034 0.7575776 -0.018806854 -0.050528593
624:-0.22330773 -1.3529389 0.49598038 0.35390437 -1.0271915 -0.18329692 -0.32238382 -0.17123106 0.65351665 0.16846108
67:-1.2091051 -1.1080503 -1.5389512 -1.2636331 -1.0338862 0.59725 0.8865563 0.15026632 -0.52376115 -0.1364632
388:-0.36860856 -1.2660693 -0.6229274 0.38189283 -1.2469368 0.24645631 0.85176 0.04437317 -0.61429805 0.4196619
974:-1.244601 -0.937096 0.22634019 -0.6494457 -0.7224364 0.2165175 0.24179308 0.82632643 -0.7842189 -0.16597141
310:0.019656982 0.022089848 0.5592599 0.8989248 -0.6027045 0.20213145 0.1122963 -0.33100474 1.4449587 -0.17791015
1362:-0.61799896 0.1417659 0.09059362 0.6869938 -1.7932622 -0.12233697 -0.21441886 -0.50697607 0.43590957 -0.05425595
444:-0.5575595 -0.60635686 -0.020929355 -0.0733348 -0.34851453 1.4629836 0.8361712 0.38102773 -0.74046016 -0.33359203
817:-0.8657341 -0.75539273 -0.6845039 -0.3473506 -1.0617567 -0.080615714 0.8384787 0.07633145 -0.010481768 0.35759833
1401:-0.40316707 -1.1435035 0.1425179 -0.8724006 -0.82465756 1.3876413 1.0758135 -0.03033922 0.17252254 -0.34496835
120:1.0328879 -0.433247 -0.5447394 -0.36324355 0.0844423 -0.0670348 1.011293 -0.12143173 -0.49828264 0.38414893
193:-0.44134733 -0.36591977 0.56538796 0.3144565 -0.51948744 0.10389815 -0.07333879 0.6301997 0.08421629 0.3908979
1606:-1.1047122 -0.5790159 -1.1518809 0.6139557 -0.7653561 0.95719683 1.4327954 0.2735811 -0.56522596 0.58542526
302:-0.9678545 -0.736809 -0.18596782 0.62162584 0.8780051 -0.117766455 0.5099135 0.5635329 -0.38717356 -0.2362401
1474:-0.94056123 0.0713154 -0.79619974 -0.25522307 -1.114349 0.2530883 0.8096515 -0.29000756 0.20596492 0.326219
1394:-0.79028285 -0.25824717 -0.14842296 0.37824345 -0.15715142 -0.4182283 0.8510288 -0.51101524 0.3569668 0.9015399
153:-0.76206833 -0.39021817 -0.1516587 -0.18357871 -1.2899452 -0.46502498 -0.45506236 0.2160653 -0.42868942 -0.19850314
